subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb
17,22,0,B,62.93693288796321,36.26467066170441,3.1468466443981606,0.5696441146783193,B,1793.0021490028594,Correct,6,4,small,big,False,Value,left,left,1112.4769530142657,Correct
17,22,1,A,45.69704229835873,73.32125264802012,2.2848521149179364,1.1517275433551057,A,1221.7639370064717,Correct,7,8,big,small,False,Size,left,left,677.6832320028916,Correct
17,22,2,A,13.808121923855015,36.47926776474643,0.6904060961927507,0.5730149980903118,A,848.9124340121634,Correct,6,5,small,big,False,Value,left,left,1275.883068999974,Correct
17,22,3,A,41.88153730229041,51.89071221429457,2.0940768651145207,0.8150974014098499,A,953.8969590212218,Correct,7,6,big,small,True,Value,left,left,989.4555110076908,Correct
17,22,4,B,47.32511805223812,26.080800226333317,2.366255902611906,0.40967625195395885,B,780.2396379993297,Correct,3,8,big,small,False,Size,left,left,1145.5896510160528,Correct
17,22,5,B,44.66205509775943,16.58650919368846,2.2331027548879714,0.26054027715795613,B,726.0245039942674,Correct,8,3,big,small,True,Value,left,left,884.1279259941075,Correct
17,22,6,A,57.60944491162091,71.06299701885236,2.880472245581046,1.1162549468824996,A,756.685023981845,Correct,8,2,small,big,False,Value,left,right,389.10883298376575,Incorrect
17,22,7,A,40.36498220745671,58.48017633049729,2.0182491103728357,0.9186044617026299,A,844.2853710148484,Correct,7,2,small,big,False,Size,right,right,1108.6780260084197,Correct
17,22,8,B,78.61350934160994,52.46788390360075,3.930675467080497,0.8241635931047712,A,782.0161409908906,Incorrect,4,7,big,small,False,Value,right,right,912.993996986188,Correct
17,22,9,A,12.098862279178892,35.344316651704254,0.6049431139589445,0.5551872276957275,A,1088.7497939984314,Correct,8,4,small,big,False,Size,right,right,522.504274995299,Correct
17,22,10,B,53.377036774458844,39.06388648498959,2.668851838722942,0.6136140940095445,B,899.9307980120648,Correct,6,8,big,small,False,Size,left,left,870.3582090092823,Correct
17,22,11,B,61.45913139811673,44.413671712346265,3.0729565699058368,0.6976483238522793,B,965.0207330123521,Correct,6,8,big,small,False,Size,left,left,625.6468640058301,Correct
17,22,12,A,46.56238164574378,66.42520969609699,2.328119082287189,1.043404753972099,A,723.1418829760514,Correct,4,6,big,small,False,Size,left,left,417.60100598912686,Correct
17,22,13,A,38.28055401568305,64.25249038636768,1.9140277007841524,1.0092757588633074,A,728.736321994802,Correct,5,7,big,small,False,Size,left,left,429.4726799998898,Correct
17,22,14,A,34.89396438274492,57.9282565015592,1.7446982191372458,0.9099349253028177,A,1015.1304579921998,Correct,7,6,small,big,False,Value,left,left,674.486705014715,Correct
17,22,15,B,48.16182347066981,30.497493700693532,2.4080911735334904,0.479053510814999,B,1075.9110460057855,Correct,8,3,small,big,False,Size,right,right,762.1048000000883,Correct
17,22,16,A,22.402125475793284,52.47984949542246,1.120106273789664,0.824351548181586,A,907.2435749985743,Correct,7,8,big,small,False,Value,right,right,765.9294419863727,Correct
17,22,17,B,58.50856220836432,45.01656209720932,2.925428110418216,0.7071185038723076,B,690.1558429817669,Correct,2,6,big,small,False,Size,left,left,792.5070429919288,Correct
17,22,18,B,87.04261644639638,64.85971535687221,4.352130822319819,1.0188140263953742,B,631.1108160007279,Correct,2,7,big,small,False,Size,left,right,644.3975550064351,Incorrect
17,22,19,A,48.53420576865772,64.42676763108699,2.426710288432886,1.0120132994217979,A,688.2617079827469,Correct,5,8,big,small,False,Size,left,left,933.2268029975239,Correct
17,22,20,B,44.01058997876628,32.2083856160259,2.200529498938314,0.5059281381764708,B,794.6036159992218,Correct,3,2,small,big,False,Size,right,right,441.03693700162694,Correct
17,22,21,A,64.85841346208817,88.32671974654387,3.242920673104408,1.3874328693571336,A,789.6085300017148,Correct,7,2,small,big,False,Value,left,left,675.9151699952781,Correct
17,22,22,B,68.12710469051143,47.82017592178648,3.4063552345255714,0.7511575668462795,A,1114.277946006041,Incorrect,3,6,small,big,True,Size,right,right,835.7739179919008,Correct
17,22,23,A,65.06791354839662,86.88042538593832,3.253395677419831,1.3647145306661,A,727.3690910078585,Correct,7,2,small,big,False,Size,right,right,871.7772770032752,Correct
17,22,24,A,23.33335724815466,46.86925317747452,1.166667862407733,0.7362205073079701,A,608.1025140010752,Correct,6,5,small,big,False,Size,right,right,875.7513739983551,Correct
17,22,25,A,52.92206231961603,79.28262075226229,2.6461031159808015,1.2453684945632646,A,970.8329479908571,Correct,5,3,big,small,True,Size,left,left,2897.3660619813018,Correct
17,22,26,B,66.74121038591488,52.02971501615608,3.3370605192957443,0.8172808523156324,B,2828.7650310085155,Correct,5,2,small,big,False,Size,right,left,314.2105220176745,Incorrect
17,22,27,B,33.158783636461855,13.013289155075416,1.6579391818230929,0.20441226804312326,B,1301.1185719806235,Correct,7,4,small,big,False,Size,right,right,1086.6046399751212,Correct
17,22,28,B,78.01925943512393,46.083536946907216,3.900962971756196,0.7238785056191875,B,952.1529450139496,Correct,7,8,big,small,False,Size,left,left,816.0244710161351,Correct
17,22,29,B,36.63555720290476,25.975181339919267,1.8317778601452377,0.4080171943657653,B,816.9624290021602,Correct,4,6,big,small,False,Value,right,right,1895.142980007222,Correct
17,22,30,A,31.05538212542688,60.57649136982069,1.5527691062713442,0.9515333013383709,A,649.5879940048326,Correct,7,6,small,big,False,Value,left,left,1103.032773011364,Correct
17,22,31,B,46.26347538433109,31.181169738474605,2.3131737692165544,0.4897926689036409,B,869.2998659971636,Correct,8,3,small,big,False,Size,right,right,1020.7364250090905,Correct
17,22,32,A,38.78031266704752,52.56432939772667,1.939015633352376,0.8256785553838605,A,1026.4883970085066,Correct,5,8,big,small,False,Value,right,right,1051.4629769895691,Correct
17,22,33,A,48.19959179374271,60.9054579179503,2.4099795896871354,0.9567006957927748,A,689.1643370036036,Correct,6,3,small,big,False,Value,left,left,1590.5834159930237,Correct
17,22,34,A,34.575758023374036,60.43172883703035,1.7287879011687017,0.949259376790725,A,1064.289967995137,Correct,3,5,big,small,False,Value,right,right,1184.1437270049937,Correct
17,22,35,B,64.2769787765626,56.348558912697534,3.21384893882813,0.8851210936025111,B,864.0542130160611,Correct,4,7,big,small,False,Value,right,right,958.3632289723027,Correct
17,22,36,B,52.09478145579427,30.260392191254383,2.6047390727897137,0.4753291290139536,B,702.8324760030955,Correct,2,3,big,small,False,Size,left,left,846.7887860024348,Correct
17,22,37,B,85.29655681689549,56.835611223608424,4.264827840844775,0.892771693411869,B,837.279753992334,Correct,8,6,small,big,False,Size,right,right,794.1857339756098,Correct
17,22,38,B,68.53285228503316,42.83501590125741,3.426642614251658,0.6728508563589612,B,544.5927449909505,Correct,2,5,big,small,False,Value,right,right,1001.7110149783548,Correct
17,22,39,A,24.35328069783563,48.27882836212347,1.2176640348917815,0.7583620625318482,A,533.5925109975506,Correct,8,7,small,big,False,Value,left,left,1220.7699330174364,Correct
17,22,40,A,37.20920726548967,52.746342656253034,1.8604603632744834,0.8285376129630723,A,881.2425720097963,Correct,2,5,big,small,False,Size,left,right,743.4319870080799,Incorrect
