subject,day,trial,cat,x,y,xt,yt,resp,rt,fb
3,7,0,A,58.323761532318,74.52211771609136,2.9161880766159003,1.170590687734132,B,701.9662910024635,Incorrect
3,7,1,B,41.41389213439771,15.458599732353967,2.0706946067198855,0.2428231167697418,B,1623.5491660190746,Correct
3,7,2,A,27.981307483513365,47.035440235712066,1.3990653741756682,0.738830967514374,A,657.8327080060262,Correct
3,7,3,A,12.023678070120202,30.46290332396895,0.60118390350601,0.4785101664479847,A,461.3013750058599,Correct
3,7,4,A,20.428245180853434,34.349082762659975,1.0214122590426717,0.5395541303236018,A,624.8223329894245,Correct
3,7,5,B,45.44995427929531,17.437539183754524,2.2724977139647655,0.27390822498183687,B,622.6107080001384,Correct
3,7,6,A,63.53697681802535,83.61969775809101,3.1768488409012674,1.313495140861088,A,620.4024580074474,Correct
3,7,7,A,41.842223201796116,62.77414796001591,2.092111160089806,0.9860540103327236,A,1119.3643329897895,Correct
3,7,8,A,57.11144509539259,64.98830687875505,2.85557225476963,1.0208339372976796,B,838.8024989981204,Incorrect
3,7,9,B,64.5003227122079,48.99879936289165,3.225016135610395,0.7696713405659031,B,535.4584160086233,Correct
3,7,10,A,58.3452490429226,84.60945875960972,2.9172624521461303,1.3290422703169924,A,518.8633329817094,Correct
3,7,11,A,36.410243924186005,50.905339623768846,1.8205121962093003,0.7996192049526282,B,658.3906659798231,Incorrect
3,7,12,B,55.150983244128426,38.81295447895852,2.7575491622064217,0.6096724632760556,B,471.6166659782175,Correct
3,7,13,A,50.06979168926205,79.8378053285973,2.5034895844631024,1.2540893134952666,A,503.2649580098223,Correct
3,7,14,A,21.34203680620893,49.67051103527485,1.0671018403104466,0.7802225628423511,A,404.12608202314004,Correct
3,7,15,A,28.41377815117523,58.40692036008751,1.4206889075587614,0.9174537596102752,A,511.8366250244435,Correct
3,7,16,B,61.06488361916805,40.19346360690602,3.0532441809584028,0.6313574499489233,B,547.8169989946764,Correct
3,7,17,A,37.38996568577474,47.42846808435087,1.869498284288737,0.7450046345240733,A,546.3775410025846,Correct
3,7,18,B,80.47295249798765,50.775852324146456,4.023647624899382,0.7975852232064937,B,457.54479098832235,Correct
3,7,19,B,79.13871817403232,64.93516702181599,3.956935908701616,1.0199992183768165,B,443.45362499007024,Correct
3,7,20,B,51.26014077045154,37.42604103009234,2.563007038522577,0.5878868777654414,B,604.499124980066,Correct
3,7,21,B,65.25116810046995,57.35255533687611,3.2625584050234977,0.9008918325546604,B,424.84512500232086,Correct
3,7,22,B,44.04967602431941,26.744724449772907,2.2024838012159704,0.42010514926844944,B,509.36316599836573,Correct
3,7,23,A,21.200758109410717,52.782064431000585,1.0600379054705358,0.8290987292886729,A,500.91379100922495,Correct
3,7,24,A,35.29180547168661,59.283828321988764,1.7645902735843304,0.9312281976651922,A,722.1249569847714,Correct
3,7,25,A,63.38697892481105,73.02502056737659,3.1693489462405524,1.1470743407135693,B,445.14416600577533,Incorrect
3,7,26,B,50.51735642801865,28.17009626525803,2.5258678214009325,0.4424948373892595,B,601.6823329846375,Correct
3,7,27,B,58.795350851895066,39.733099760459616,2.9397675425947534,0.6241260715590515,B,558.2606660027523,Correct
3,7,28,B,47.78600274021131,28.09744991760878,2.3893001370105655,0.4413537112288344,B,529.0239579917397,Correct
3,7,29,B,57.9918030086125,41.181638988979714,2.8995901504306247,0.6468796725528283,B,413.9283330005128,Correct
3,7,30,B,59.78618757732053,31.606678463877497,2.989309378866027,0.49647654433246136,B,478.4342079947237,Correct
3,7,31,A,63.590023294701496,75.1219641882295,3.1795011647350746,1.1800130540848865,A,562.4520409910474,Correct
3,7,32,A,27.42870374831184,42.41526331264337,1.3714351874155921,0.6662573981153855,A,622.6662910194136,Correct
3,7,33,A,51.086938065831625,60.462291448353334,2.5543469032915813,0.949739453166759,B,1274.9388329975773,Incorrect
3,7,34,A,50.538538300359264,76.86494783649273,2.526926915017963,1.2073917772084413,A,759.5540820038877,Correct
3,7,35,A,21.15289114805982,43.272061175038516,1.057644557402991,0.6797159474659455,A,526.4009569946211,Correct
3,7,36,B,65.58743674525603,57.44077538753979,3.279371837262801,0.902277589869982,B,693.4763739991467,Correct
3,7,37,A,44.68554466164659,51.8456179736831,2.2342772330823295,0.8143890627347288,B,606.9921240268741,Incorrect
3,7,38,A,61.9819941537357,74.03777122133579,3.0990997076867846,1.1629825907855516,A,1290.9877080237493,Correct
3,7,39,A,18.761728340433333,32.97241181788976,0.9380864170216667,0.5179294336910987,B,501.03487400338054,Incorrect
3,7,40,A,56.56545007755471,78.40437345095364,2.828272503877735,1.231573018214133,A,647.7355410170276,Correct
3,7,41,B,66.08140442540244,36.07997606345954,3.3040702212701216,0.5667429387133004,B,614.5289159903768,Correct
3,7,42,A,11.635147573506217,31.872305135854955,0.5817573786753109,0.5006489983388708,A,464.9478750070557,Correct
3,7,43,A,28.04174210015229,59.41671246980626,1.4020871050076147,0.933315536978002,A,666.1592909949832,Correct
3,7,44,B,63.70418189933105,34.07338121120664,3.1852090949665524,0.5352234204804563,B,455.66854102071375,Correct
3,7,45,A,44.67853104578449,75.12297467046324,2.2339265522892244,1.180028926702697,A,553.8358330086339,Correct
3,7,46,B,48.726037616427064,26.475543893248872,2.436301880821353,0.41587687097412385,B,712.3249580035917,Correct
3,7,47,B,84.99210709173009,64.84427043422541,4.249605354586504,1.0185714181177619,B,928.6705410049763,Correct
3,7,48,B,79.29292147214515,55.57514284221851,3.9646460736072577,0.8729723023765852,B,516.9018750020768,Correct
3,7,49,B,63.087970857991316,49.78873876639949,3.154398542899566,0.7820796797001098,B,486.9849160022568,Correct
3,7,50,A,38.41979459093376,71.40818824180657,1.920989729546688,1.1216771979330828,A,1273.3777909888886,Correct
3,7,51,B,56.21027272816158,44.58378798319144,2.810513636408079,0.7003205039859957,B,548.6229579837527,Correct
