subject,day,trial,cat,x,y,xt,yt,resp,rt,fb
3,18,124,B,53.21756710416619,44.26828212219712,2.6608783552083093,0.6953645495106743,B,556.2913339963416,Correct
3,18,125,B,76.98676632912434,59.7091401019145,3.849338316456217,0.9379089794816914,B,2631.765375001123,Correct
3,18,126,A,23.699717772222,53.88473540381899,1.1849858886111,0.8464194444263378,A,1063.1611669959966,Correct
3,18,127,B,88.72818379616368,63.15044676057056,4.436409189808184,0.9919648980696091,B,1146.2831670069136,Correct
3,18,128,A,57.99058680630036,80.46415887305464,2.899529340315018,1.2639280519643523,A,1278.4019579994492,Correct
3,18,129,B,58.26714687568006,35.90369189302968,2.9133573437840035,0.5639738734394673,B,2624.6987909980817,Correct
3,18,130,A,61.958167693544304,80.31343261937405,3.0979083846772153,1.2615604495080217,A,856.5949999901932,Correct
3,18,131,B,87.72251149200063,69.68384104088018,4.386125574600032,1.0945912154397404,B,640.1197499944828,Correct
3,18,132,A,20.556601793453794,45.050988549985746,1.0278300896726897,0.7076592733279656,A,458.25562499521766,Correct
3,18,133,A,21.277779648806934,34.80200594461488,1.0638889824403466,0.5466686310289521,A,1251.188499998534,Correct
3,18,134,A,48.5494809428211,78.44959558052291,2.427474047141055,1.2322833657643055,A,510.859125002753,Correct
3,18,135,B,56.0423824910171,48.8640661981325,2.8021191245508548,0.7675549569628919,B,930.1569160015788,Correct
3,18,136,A,20.249424105034535,48.87409293180997,1.0124712052517268,0.7677124565271953,A,1151.3171249971492,Correct
3,18,137,A,39.11405331955875,58.53267181133375,1.9557026659779375,0.9194290587873422,A,943.4247919998597,Correct
3,18,138,A,50.58822796400748,78.87738201043072,2.529411398200374,1.2390030192918244,A,753.1852919928497,Correct
3,18,139,B,83.41374561273827,57.6138432317644,4.170687280636913,0.9049961332099253,B,413.3908330113627,Correct
3,18,140,B,62.84756986062577,44.49462184442268,3.142378493031288,0.6989198855534712,B,907.0862910011783,Correct
3,18,141,A,54.81720743885927,75.63229259658912,2.7408603719429636,1.1880292739779905,A,570.2977920009289,Correct
3,18,142,A,37.895454491875974,54.029003550786385,1.8947727245937986,0.8486856031796369,A,1168.6408330133418,Correct
3,18,143,B,55.32199550709093,33.62816125107943,2.766099775354547,0.5282299217006204,B,565.8684169902699,Correct
3,18,144,B,53.807812837606704,27.39697231181332,2.6903906418803354,0.43035063472697854,B,610.9139170002891,Correct
3,18,145,A,59.701649844933485,69.46638861905825,2.9850824922466743,1.091175480785235,A,875.7231250056066,Correct
3,18,146,A,38.74919278912384,70.51105743296475,1.937459639456192,1.10758510014125,A,572.7335000119638,Correct
3,18,147,A,30.548716553265514,53.069407592401376,1.5274358276632756,0.8336123051132527,A,827.3788329970557,Correct
3,18,148,B,74.37571712652517,42.98843519833612,3.7187858563262584,0.6752607610420682,B,452.4193339893827,Correct
3,18,149,B,64.6550184652589,37.54450602425417,3.232750923262945,0.5897477215422732,B,423.61087500466965,Correct
3,18,150,A,63.817950657235485,89.25419259382878,3.1908975328617744,1.402001578774305,A,486.83416699350346,Correct
3,18,151,B,62.53645547868375,50.85590243228613,3.1268227739341876,0.798842647364747,B,497.0312500081491,Correct
3,18,152,A,41.15697233137784,48.97484929466792,2.057848616568892,0.76929513377398,A,731.6641670040553,Correct
3,18,153,A,24.700275998972117,47.6370081867943,1.235013799948606,0.7482803747931489,A,541.554040988558,Correct
3,18,154,A,17.856067746729753,39.06276238231959,0.8928033873364876,0.6135964366460948,A,491.3376659969799,Correct
3,18,155,B,66.6309053979953,37.10156550648225,3.3315452698997654,0.5827900281592255,B,394.16454199817963,Correct
3,18,156,A,16.07914448960456,30.91083534620491,0.803957224480228,0.4855462661998053,A,437.06974999804515,Correct
3,18,157,A,22.804431996026768,42.024115014370274,1.1402215998013383,0.6601132550137909,A,518.1977089960128,Correct
3,18,158,B,48.214893725340985,23.453813221745072,2.410744686267049,0.3684116365805074,B,415.143000005628,Correct
