subject,day,trial,cat,x,y,xt,yt,resp,rt,fb
3,17,0,B,67.07688563833041,44.490956055911056,3.3538442819165204,0.6988623034821825,B,513.5510840045754,Correct
3,17,1,B,68.31947683626603,48.90714158052366,3.415973841813302,0.768231583487245,B,607.7480829990236,Correct
3,17,2,B,51.768252319053374,20.646496964466454,2.588412615952669,0.3243144159296589,B,462.4676660023397,Correct
3,17,3,B,37.48952854545379,27.20495056143026,1.8744764272726895,0.4273343641253141,B,1308.2992080016993,Correct
3,17,4,B,57.25923545235014,48.36054186486369,2.862961772617507,0.7596456152313869,B,868.782707999344,Correct
3,17,5,B,65.575293720659,35.66231232463219,3.2787646860329507,0.5601822920454461,B,589.6584590009297,Correct
3,17,6,B,45.89935133457216,29.439385623025455,2.294967566728608,0.4624327879974687,B,685.5349170000409,Correct
3,17,7,B,79.25944164161339,55.77606767021787,3.96297208208067,0.8761284221944182,B,983.3461250018445,Correct
3,17,8,A,37.981824775366846,54.43185612825002,1.8990912387683423,0.8550135966688341,A,747.8274580062134,Correct
3,17,9,B,81.65921897555542,65.1321696575383,4.082960948777771,1.0230937285424317,A,1612.0648329961114,Incorrect
3,17,10,A,67.46501882588267,81.61586668962154,3.3732509412941334,1.2820190360423946,A,745.8792079996783,Correct
3,17,11,A,26.513653454494644,48.49761138466996,1.3256826727247324,0.7617986982136593,A,989.9214999968535,Correct
3,17,12,B,58.32544543873304,27.43553984594641,2.916272271936652,0.4309564521364764,B,998.3565419970546,Correct
3,17,13,A,57.3310248580145,81.4438529939998,2.866551242900725,1.279317051229984,A,552.9244589997688,Correct
3,17,14,B,70.01234225949219,49.7785339851278,3.5006171129746093,0.7819193833707365,B,457.04591699904995,Correct
3,17,15,A,55.653656538098836,63.27391599508102,2.7826828269049417,0.993904348270021,A,1681.7663330002688,Correct
3,17,16,A,50.512955100664726,68.21116998669692,2.525647755033236,1.0714585526148581,A,624.3782919991645,Correct
3,17,17,A,38.300325951648084,65.5888581618557,1.9150162975824043,1.0302673747931441,A,986.2319579988252,Correct
3,17,18,B,55.76630627593856,30.340404033206934,2.7883153137969283,0.4765859520883452,B,931.4130839993595,Correct
3,17,19,A,61.06196592328952,75.94334911558124,3.053098296164476,1.1929153383525748,A,775.0303339998936,Correct
3,17,20,B,53.24770208249827,39.65698011720593,2.6623851041249136,0.6229303869988532,B,999.3629999953555,Correct
