subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb
1,22,0,A,16.031194100177473,40.00395020665941,0.8015597050088736,0.6283805804190655,B,2724.6182919479907,Incorrect,7,3,big,small,True,Size,left,left,9042.507541831583,Correct
1,22,1,A,39.25667976806246,63.07112204092566,1.9628339884031232,0.9907188682871867,B,944.491125177592,Incorrect,8,3,small,big,False,Value,left,left,2260.376667138189,Correct
1,22,2,B,79.3904713314385,57.205399715596734,3.969523566571925,0.8985803174609316,B,1438.4587919339538,Correct,7,6,small,big,False,Size,right,left,2261.6962091997266,Incorrect
1,22,3,A,34.55245540925179,50.39053105885719,1.7276227704625895,0.7915326109249703,B,1134.5338337123394,Incorrect,7,6,small,big,False,Value,left,right,1350.4807078279555,Incorrect
1,22,4,B,88.50813219545341,68.54633519612277,4.42540660977267,1.0767233154132139,B,1526.030832901597,Correct,4,7,big,small,False,Size,left,left,1561.6325829178095,Correct
1,22,5,B,52.39007717303908,27.96469898001289,2.6195038586519543,0.4392684643772924,B,1507.7256672084332,Correct,2,5,big,small,False,Size,left,right,509.58729162812233,Incorrect
1,22,6,B,59.53911157835333,27.02780458730419,2.976955578917666,0.42455176167067676,B,1138.7527496553957,Correct,3,7,big,small,False,Size,left,right,927.8339999727905,Incorrect
1,22,7,A,58.37901143323479,73.57506182662736,2.9189505716617394,1.1557143686097369,B,1008.3158328197896,Incorrect,6,8,big,small,False,Size,left,right,1042.2425409778953,Incorrect
1,22,8,B,71.64134293237377,51.360354751622666,3.582067146618689,0.806766565867317,B,1253.1329998746514,Correct,5,8,big,small,False,Value,right,left,1374.707959126681,Incorrect
1,22,9,A,46.491334311669675,61.217614929710706,2.324566715583484,0.96160404666734,B,3944.448540918529,Incorrect,7,2,small,big,False,Value,left,left,3056.63949996233,Correct
1,22,10,B,30.467973886569702,12.440101769045263,1.523398694328485,0.19540866163770995,B,754.1507501155138,Correct,7,2,small,big,False,Value,left,right,843.4865833260119,Incorrect
1,22,11,A,19.40209268217335,49.516476016462576,0.9701046341086674,0.77780298642487,B,490.27283303439617,Incorrect,2,5,big,small,False,Value,right,left,731.5710410475731,Incorrect
1,22,12,B,83.14758618930132,61.281249763656916,4.157379309465066,0.962603620301529,B,822.1640409901738,Correct,5,4,small,big,False,Value,left,right,1619.0790827386081,Incorrect
1,22,13,A,42.98874852158039,68.79828202914798,2.1494374260790194,1.08068088701185,B,694.3779159337282,Incorrect,4,6,big,small,False,Size,left,left,551.5348338522017,Correct
1,22,14,B,71.14778817833546,55.016920370112665,3.557389408916773,0.8642037642894029,A,884.3157906085253,Incorrect,8,4,big,small,True,Size,left,right,850.6605830043554,Incorrect
1,22,15,A,65.26647412484861,88.15449200482331,3.263323706242431,1.3847275223164652,A,1122.888790909201,Correct,5,4,small,big,False,Size,right,right,441.042915917933,Correct
1,22,16,B,57.007650697282905,27.954489818001772,2.850382534864145,0.4391080992354252,B,883.6061246693134,Correct,3,2,small,big,False,Size,right,left,670.138250105083,Incorrect
1,22,17,A,63.439933355600104,73.05546036266823,3.171996667780005,1.1475524878998942,B,725.5739173851907,Incorrect,7,6,small,big,False,Value,left,left,979.2665829882026,Correct
1,22,18,A,25.505096387679593,38.29737080717486,1.2752548193839797,0.6015736938981237,B,315.88333286345005,Incorrect,8,7,small,big,False,Size,right,left,801.3642500154674,Incorrect
1,22,19,B,62.167998981266656,40.97861012437855,3.1083999490633327,0.6436905026053399,B,812.0963331311941,Correct,7,5,small,big,False,Size,right,left,916.0684999078512,Incorrect
1,22,20,B,41.82802796611335,33.86346132743137,2.091401398305668,0.5319260066569023,A,953.4953748807311,Incorrect,8,5,small,big,False,Size,right,left,505.5214581079781,Incorrect
1,22,21,A,34.78578498993372,65.50939567609329,1.7392892494966858,1.0290191809856082,B,744.7071252390742,Incorrect,3,7,big,small,False,Value,right,left,1318.8028750009835,Incorrect
1,22,22,A,20.83354543529196,50.803259235383976,1.0416772717645981,0.7980157299615006,B,661.5387080237269,Incorrect,6,3,small,big,False,Size,right,left,783.7845417670906,Incorrect
1,22,23,B,61.76549020571063,48.388243628304416,3.0882745102855313,0.7600807535139713,B,674.5818750932813,Correct,2,8,big,small,False,Size,left,right,976.0700417682528,Incorrect
1,22,24,B,55.36178700978034,25.893468733090074,2.768089350489017,0.4067336557391639,B,836.3651251420379,Correct,6,8,small,big,True,Size,right,right,1101.9755410961807,Correct
1,22,25,A,25.640376976750623,48.576689281862144,1.282018848837531,0.7630408509180608,B,683.4962079301476,Incorrect,2,3,big,small,False,Value,right,left,404.4068749062717,Incorrect
1,22,26,B,34.66159187531346,15.95769426886022,1.733079593765673,0.2506628754164161,B,618.2147092185915,Correct,6,2,small,big,False,Size,right,left,1408.3212497644126,Incorrect
1,22,27,A,56.35267578964719,80.52480412587492,2.8176337894823598,1.2648806653680287,B,444.9470001272857,Incorrect,7,4,small,big,False,Size,right,right,656.5861250273883,Correct
1,22,28,A,57.90421775164634,85.88518685649876,2.895210887582317,1.3490813604028158,B,988.6334161274135,Incorrect,5,7,big,small,False,Value,right,right,1572.5533748045564,Correct
1,22,29,A,19.684724074732166,37.59040520712533,0.9842362037366084,0.5904687042208423,B,1074.550834018737,Incorrect,5,6,big,small,False,Value,right,right,2544.627749826759,Correct
1,22,30,B,66.07123345567327,55.494309942771565,3.3035616727836636,0.8717025821612308,A,2540.719584096223,Incorrect,6,2,small,big,False,Size,right,right,3777.960749808699,Correct
1,22,31,A,30.88356639093374,41.42517494820605,1.5441783195466872,0.6507051264547804,B,719.198958016932,Incorrect,5,4,small,big,False,Value,left,right,1471.4505830779672,Incorrect
1,22,32,A,11.650315394446618,36.79597229253452,0.582515769722331,0.5779897811796002,B,489.21008314937353,Incorrect,3,7,big,small,False,Size,left,left,1233.6605829186738,Correct
1,22,33,A,55.17022244363865,81.51912737974718,2.7585111221819325,1.2804994585163214,B,245.08333299309015,Incorrect,7,6,big,small,True,Size,left,left,653.2824160531163,Correct
1,22,34,A,49.060185329342886,80.2214004629707,2.453009266467144,1.2601148117757681,B,120.45312486588955,Incorrect,4,8,big,small,False,Size,left,right,3565.059957560152,Incorrect
1,22,35,A,47.842762135458614,75.4766235196465,2.3921381067729306,1.18558402983542,B,497.5623330101371,Incorrect,6,3,small,big,False,Value,left,left,629.6515418216586,Correct
1,22,36,A,41.845373107393186,74.45361578305437,2.0922686553696592,1.1695146618862036,B,608.9429161511362,Incorrect,7,3,small,big,False,Size,right,right,889.2912911251187,Correct
1,22,37,A,55.48576039012312,83.93970839354756,2.774288019506156,1.3185218561681924,B,558.040417265147,Incorrect,3,6,big,small,False,Value,right,left,768.2276251725852,Incorrect
1,22,38,B,65.51729225634737,57.75841843281451,3.2758646128173687,0.9072671151574767,B,355.92291597276926,Correct,7,6,small,big,False,Size,right,left,898.1714593246579,Incorrect
1,22,39,B,80.72298024593542,53.58831089238215,4.036149012296772,0.8417632190889681,B,974.5115409605205,Correct,4,7,big,small,False,Value,right,left,6488.8187921606,Incorrect
1,22,40,A,51.51953166805994,78.21838233947796,2.575976583402997,1.2286514766669077,A,16798.04562497884,Correct,3,6,big,small,False,Value,right,right,8104.557374957949,Correct
1,22,41,A,21.735030708120387,46.30936121246276,1.0867515354060193,0.7274257448875456,B,686.129666864872,Incorrect,3,7,big,small,False,Size,left,right,763.2059580646455,Incorrect
1,22,42,A,64.52606938519963,79.05543725369778,3.226303469259982,1.2417999045127288,A,386.16395834833384,Correct,8,6,small,big,False,Value,left,right,1003.5927910357714,Incorrect
1,22,43,B,46.6891075145113,22.829322438269042,2.334455375725565,0.35860215829249326,A,782.7230412513018,Incorrect,3,6,big,small,False,Size,left,left,1228.4519169479609,Correct
1,22,44,A,36.595546322834586,58.81911529560774,1.8297773161417294,0.9239285025166615,A,1367.652041837573,Correct,8,5,small,big,False,Size,right,right,583.7581669911742,Correct
1,22,45,A,37.6936117285206,50.5637554788015,1.88468058642603,0.7942536137505671,A,1130.5727087892592,Correct,7,8,big,small,False,Size,left,left,679.0017080493271,Correct
1,22,46,A,47.31235066286608,60.697527364192766,2.365617533143304,0.9534345302920672,A,620.5958747304976,Correct,8,2,small,big,False,Size,right,right,718.078332953155,Correct
1,22,47,A,64.04834919872458,84.87237606086296,3.2024174599362287,1.3331721656275866,A,1076.4079997316003,Correct,3,6,small,big,True,Value,right,right,875.8387500420213,Correct
