subject,day,trial,cat,x,y,xt,yt,resp,rt,fb
2,4,0,B,71.4585031938603,53.33641268382253,3.5729251596930145,0.8378064112816516,B,615.0871249847114,Correct
2,4,1,B,61.87870806378489,36.09319075929613,3.0939354031892448,0.5669505146700986,B,515.099833952263,Correct
2,4,2,A,14.007421157575717,32.12658311913151,0.7003710578787858,0.504643187560027,A,448.09529185295105,Correct
2,4,3,A,67.63370585548772,87.96345329288147,3.381685292774386,1.3817266932465264,B,389.720750041306,Incorrect
2,4,4,A,40.60682932044888,60.5280902382209,2.0303414660224437,0.9507730181410744,A,527.5995000265539,Correct
2,4,5,A,22.914061396833123,43.237382699062806,1.1457030698416562,0.6791712192391307,A,499.1270420141518,Correct
2,4,6,B,45.95237807836304,16.018355967294795,2.297618903918152,0.25161574714719775,B,369.6650001220405,Correct
2,4,7,A,38.30923705277436,70.8556735933985,1.915461852638718,1.1129983181308853,A,420.8443749230355,Correct
2,4,8,B,49.402561339392626,26.66759643688195,2.4701280669696315,0.41889362527502844,B,712.9175839945674,Correct
2,4,9,A,34.89367827064949,58.19360462370231,1.7446839135324745,0.914103003858661,A,482.4734579306096,Correct
2,4,10,B,68.94316247711501,55.15533457330507,3.447158123855751,0.8663779695089117,B,559.0698330197483,Correct
2,4,11,A,46.16179565184376,58.131735611040924,2.308089782592188,0.9131311676803517,A,586.3597090356052,Correct
2,4,12,A,41.859877039480985,66.65571050909236,2.092993851974049,1.0470254522758626,A,651.2830411083996,Correct
2,4,13,A,13.58814930185574,30.71731205332799,0.6794074650927869,0.4825064094238021,A,523.9637091290206,Correct
2,4,14,B,66.04430454172515,40.30047471220931,3.302215227086258,0.6330383764602899,B,581.8897499702871,Correct
2,4,15,A,23.518000048461985,42.04839006462285,1.1759000024230992,0.660494566611486,A,804.4863750692457,Correct
2,4,16,A,27.53641905574764,60.540127896924645,1.3768209527873818,0.9509621052418248,A,504.43112500943244,Correct
2,4,17,B,67.73816065196895,37.24813405416377,3.3869080325984475,0.5850923215224435,B,493.6095830053091,Correct
2,4,18,B,47.59744048036676,38.652116876732926,2.3798720240183378,0.6071460321281912,B,424.8817500192672,Correct
2,4,19,A,14.323831209405224,35.178504319861766,0.7161915604702612,0.5525826536777726,A,470.64841678366065,Correct
2,4,20,B,42.298824053559066,30.178242339951538,2.114941202677953,0.4740387221672209,A,679.8227080143988,Incorrect
2,4,21,B,83.2365152166918,58.920227951075375,4.16182576083459,0.9255167763946719,B,520.4173328820616,Correct
2,4,22,B,62.49327164916351,31.7245006451192,3.1246635824581754,0.49832729082755567,B,477.82604210078716,Correct
