subject,day,trial,cat,x,y,xt,yt,resp,rt,fb
2,302,0,B,63.21966772525115,44.9966979060537,3.1609833862625574,0.7068064778872877,B,583.5192999998071,Correct
2,302,1,B,52.52403059683629,24.806190267327544,2.6262015298418144,0.38965472553693425,B,464.40060000031735,Correct
2,302,2,B,54.32427637029328,45.21288824977574,2.7162138185146643,0.7102023878653587,B,347.7191999995739,Correct
2,302,3,B,31.384084969817902,14.155793154347595,1.569204248490895,0.22235867889717548,B,518.7537000001612,Correct
2,302,4,B,58.68409527157124,40.000799288165254,2.9342047635785615,0.628331085907099,B,460.0188999997954,Correct
2,302,5,A,38.51013160702365,58.35820206091401,1.9255065803511826,0.9166884943563809,A,708.619699999872,Correct
2,302,6,A,42.301082435646904,67.14017290187859,2.115054121782345,1.0546353697464514,A,878.5705999998754,Correct
2,302,7,B,76.33911350026806,57.1811478658461,3.816955675013403,0.8981993702958688,B,535.6636000001345,Correct
2,302,8,A,61.45866593463754,76.15887818805446,3.072933296731877,1.1963008611061592,A,918.3133000001362,Correct
2,302,9,A,43.98260984849368,53.44502547852451,2.199130492424684,0.8395124970712595,A,655.9962999999698,Correct
2,302,10,B,51.14739696503702,22.780335008158602,2.557369848251851,0.3578326655397272,B,765.2354000001651,Correct
2,302,11,B,61.18014667797629,34.28290959484257,3.0590073338988146,0.5385146846342023,B,1007.7415999999175,Correct
2,302,12,B,64.22679711142882,53.17442222765203,3.211339855571441,0.8352618711463671,B,596.9952000000376,Correct
2,302,13,A,43.954053638819175,63.351309708287154,2.197702681940959,0.9951200458742333,A,455.50279999997656,Correct
2,302,14,B,65.53021059217666,37.99424367308866,3.2765105296088333,0.596812184010379,B,576.9144999999298,Correct
2,302,15,A,47.34670666370699,74.80498422856651,2.3673353331853493,1.1750339445218243,A,577.7562000002945,Correct
2,302,16,A,44.24708041360962,74.01970032336736,2.2123540206804813,1.1626987337840446,A,385.2010999999038,Correct
2,302,17,B,73.59356463697416,44.932916656153935,3.6796782318487082,0.7058046043566782,B,589.6569000001364,Correct
2,302,18,B,57.41479719171698,27.84111980467409,2.870739859585849,0.43732728723038705,B,571.9910000002528,Correct
2,302,19,B,63.26767858700533,51.57963359543498,3.1633839293502666,0.810210989891359,B,524.3128999995861,Correct
2,302,20,B,70.1522682686693,59.4132447230716,3.5076134134334653,0.9332610657396714,A,821.6911999998047,Incorrect
2,302,21,B,58.94758182049689,31.505182952032435,2.9473790910248447,0.4948822565605374,B,740.3377999999066,Correct
2,302,22,B,68.5684949195621,57.16443807734435,3.428424745978105,0.8979368935518681,B,508.91860000001543,Correct
2,302,23,A,62.72330533875489,80.48040466339498,3.1361652669377444,1.264183240242277,A,551.9650999999612,Correct
2,302,24,B,69.78760223428658,40.938359745907945,3.489380111714329,0.6430582511388026,B,493.79599999974744,Correct
2,302,25,A,37.61408745578748,68.77882702489404,1.880704372789374,1.0803752885196514,A,495.4555999997865,Correct
2,302,26,A,57.137210127698054,70.46332326730334,2.8568605063849026,1.1068352936204147,A,742.3694999997679,Correct
2,302,27,A,45.91314794047555,66.59054944883194,2.2956573970237772,1.0460019047347913,A,881.6855000000032,Correct
2,302,28,B,35.716160300347006,20.6129298283171,1.7858080150173503,0.3237871445880146,B,1081.7008999997597,Correct
2,302,29,B,89.49766420502394,68.01244381196497,4.474883210251197,1.0683369691617888,B,969.9961999999687,Correct
2,302,30,A,46.338269375984574,65.77208796615247,2.3169134687992288,1.0331455418286313,A,1027.6803000001564,Correct
2,302,31,A,16.614685907124638,36.92001758812518,0.8307342953562319,0.5799382801263,A,543.279800000164,Correct
2,302,32,B,48.64656570235552,41.588083151828265,2.432328285117776,0.6532640825333256,B,709.6560999998474,Correct
2,302,33,A,48.260232184132406,74.51360998587015,2.4130116092066203,1.1704570486203234,A,463.0405000002611,Correct
2,302,34,A,38.572601719182956,52.18770367968506,1.9286300859591479,0.819762532439098,A,513.2688000003327,Correct
2,302,35,A,50.14542972008384,61.94483498596917,2.507271486004192,0.9730271925987637,A,407.6528000000508,Correct
2,302,36,A,63.26691552520488,88.54987975293807,3.1633457762602437,1.390938258540449,A,681.5590999999586,Correct
2,302,37,A,59.743499307252904,74.55683683314166,2.9871749653626454,1.1711360543494538,A,436.88820000033957,Correct
2,302,38,B,62.669771748853364,36.701927847218705,3.133488587442668,0.5765125344870247,B,742.5604000000021,Correct
2,302,39,B,65.36379425184266,51.200862509176645,3.268189712592133,0.8042612675814521,B,648.529999999937,Correct
2,302,40,A,60.48771566868237,76.30702626341386,3.0243857834341186,1.198627965632122,A,550.8900999998332,Correct
2,302,41,A,14.776413563260867,31.761873592363962,0.7388206781630433,0.4989143437100914,A,583.1775999999991,Correct
2,302,42,B,71.5643072785489,48.319064794427014,3.5782153639274448,0.7589940949325055,B,697.7028000001155,Correct
2,302,43,B,33.29933677686276,18.840314307132065,1.664966838843138,0.2959429650930438,B,866.5096999998241,Correct
2,302,44,A,44.079579296537595,71.27523744751282,2.2039789648268795,1.1195888117398718,A,675.9391999999025,Correct
2,302,45,A,16.19536169751359,38.46458378054072,0.8097680848756795,0.6042002691416792,A,474.26669999958904,Correct
2,302,46,B,53.64153199987794,43.299283805698,2.682076599993897,0.6801435595484017,B,816.1207000002833,Correct
2,302,47,B,45.899668140142566,19.881644268360255,2.2949834070071287,0.312300137873831,B,790.4404000000795,Correct
2,302,48,A,22.821713306355118,39.92994341535952,1.141085665317756,0.627218084459748,A,559.0207000000191,Correct
