subject,day,trial,cat,x,y,xt,yt,resp,rt,fb
14,314,0,B,71.75519347080153,61.93512734453343,3.5877596735400767,0.9728747053236726,B,529.444699999658,Correct
14,314,1,B,39.54258049051374,14.03180899398469,1.977129024525687,0.22041114026038744,A,563.4439000004932,Incorrect
14,314,2,A,33.15111397384029,60.606482300158305,1.6575556986920146,0.9520043977704858,B,494.4814000009501,Incorrect
14,314,3,B,36.974455832630355,19.961188097522662,1.8487227916315176,0.313549609420506,B,642.3617999989801,Correct
14,314,4,A,50.55566653331245,67.48113140459739,2.527783326665622,1.0599911333830532,B,533.4178000011889,Incorrect
14,314,5,A,18.915631096521167,33.57087200748823,0.9457815548260584,0.5273300243666412,A,498.6941000006482,Correct
14,314,6,A,22.49616453686322,50.979760827831406,1.124808226843161,0.8007882104923992,B,981.7038000001048,Incorrect
14,314,7,B,69.02273646990243,59.75626017085783,3.4511368234951214,0.9386491397938366,A,555.7946999997512,Incorrect
14,314,8,A,10.150044718696947,33.26890687643185,0.5075022359348473,0.5225867671798062,A,563.2688000005146,Correct
14,314,9,A,49.568842125955975,76.16916924392771,2.478442106297799,1.1964625126338047,B,589.4979000004241,Incorrect
14,314,10,B,56.91182792666008,31.328791095817095,2.845591396333004,0.4921114997623416,B,518.9155999996728,Correct
14,314,11,A,47.27881119232458,70.83866354092169,2.3639405596162293,1.1127311248513936,B,579.5881999983976,Incorrect
14,314,12,A,43.48380749398701,59.91817691057878,2.1741903746993505,0.9411925219938392,B,1525.269699999626,Incorrect
14,314,13,A,18.10083840259498,34.14807560728838,0.9050419201297489,0.53639671731043,A,689.1709999999875,Correct
14,314,14,A,21.957260643098866,34.076602616167364,1.0978630321549432,0.5352740221912506,A,858.828899999935,Correct
14,314,15,B,50.44020835086753,38.812186420860144,2.522010417543376,0.6096603986476589,B,469.8570999989897,Correct
14,314,16,A,29.83193383466884,56.481386218402676,1.4915966917334418,0.8872075400415081,B,998.991800001022,Incorrect
14,314,17,A,33.137858904890734,66.29554665069313,1.6568929452445367,1.0413680116176847,B,848.6480000010488,Incorrect
14,314,18,B,36.41695718912123,19.39676998737483,1.8208478594560615,0.3046837504785388,B,490.0861000005534,Correct
14,314,19,B,59.07750581414007,39.53861294278038,2.9538752907070034,0.6210710797708457,B,479.0726999999606,Correct
14,314,20,B,59.98714772509046,40.82253082762126,2.999357386254523,0.641238814744989,B,496.42390000008163,Correct
14,314,21,B,37.65092428153825,25.453404986766156,1.8825462140769127,0.3998211505763518,B,539.5242999984475,Correct
14,314,22,A,61.842568411058636,80.25576086996487,3.0921284205529322,1.2606545437867043,B,508.90269999945303,Incorrect
14,314,23,B,44.55143311538352,29.051573340311876,2.227571655769176,0.4563410469057444,B,401.0521999989578,Correct
14,314,24,B,47.924580419438605,29.90952157317144,2.3962290209719304,0.46981766623330407,B,511.13839999925403,Correct
14,314,25,A,59.333537474216186,72.1399701804389,2.9666768737108096,1.1331720017452678,B,396.40759999929287,Incorrect
14,314,26,B,86.20053394671734,65.54022081056448,4.310026697335867,1.0295033810656113,B,479.4638000003033,Correct
14,314,27,B,38.698189020235816,16.258178509962175,1.9349094510117908,0.25538287083824307,A,591.4518999998108,Incorrect
14,314,28,B,37.15618899118327,21.287849052175048,1.8578094495591637,0.33438875096520787,A,456.606699999611,Incorrect
14,314,29,B,46.67518307494326,22.830903621319816,2.333759153747163,0.3586269954577747,B,545.6503000004886,Correct
14,314,30,B,35.634379506587564,20.415930482811003,1.781718975329378,0.32069268610499485,B,479.51780000039435,Correct
14,314,31,B,50.3201828533348,43.435667740234265,2.51600914266674,0.6822858733824356,A,617.1873000002961,Incorrect
14,314,32,A,36.230106027288144,55.100101734047186,1.8115053013644071,0.8655103740986644,B,383.5332999988168,Incorrect
14,314,33,A,16.04279732729886,35.90288285028747,0.8021398663649429,0.5639611650257904,A,560.3497000010975,Correct
14,314,34,A,47.283426496920434,54.490149496455096,2.364171324846022,0.8559292667553644,B,613.8915000010456,Incorrect
14,314,35,B,44.015800791572694,21.441344756473324,2.2007900395786346,0.3367998558501131,B,733.6266999991494,Correct
14,314,36,B,70.16536712095885,54.881341982982946,3.508268356047943,0.8620741039644416,B,510.83900000048743,Correct
14,314,37,B,36.843033348901095,27.230201877329733,1.8421516674450547,0.4277310108679304,B,577.5534999993397,Correct
14,314,38,A,31.772674965929532,63.924485389404225,1.5886337482964765,1.004123468419302,A,790.826599999491,Correct
14,314,39,A,50.529881110632786,61.25999240124045,2.5264940555316393,0.9622697104335177,A,919.915200000105,Correct
14,314,40,A,47.87679666834057,68.00360993749078,2.3938398334170286,1.0681982069860345,A,671.3970999990124,Correct
14,314,41,A,37.04470212445615,61.77559908496029,1.8522351062228075,0.9703688412820979,A,520.819899998969,Correct
14,314,42,B,83.8813611407312,58.850345394679245,4.19406805703656,0.9244190637657311,B,487.6887999998871,Correct
14,314,43,A,37.81735194084954,60.21212152689919,1.8908675970424769,0.9458097932298116,B,661.2646000012319,Incorrect
14,314,44,A,51.74718232037267,67.77032636517946,2.5873591160186336,1.0645337972011524,A,428.7257999985741,Correct
14,314,45,A,13.998844966903526,32.20397951611603,0.6999422483451764,0.5058589273209315,A,550.400999998601,Correct
14,314,46,A,46.37217139119363,60.55705962102576,2.3186085695596814,0.951228068142068,A,717.0145999989472,Correct
14,314,47,A,20.780500286553135,45.530431766807574,1.0390250143276567,0.7151903497668701,A,628.2336999993277,Correct
14,314,48,A,40.94024770259284,67.59502478797143,2.047012385129642,1.061780166465555,A,843.1408999986161,Correct
14,314,49,A,64.67608121976482,75.76591175406462,3.233804060988241,1.1901281587955097,B,613.3694000000105,Incorrect
14,314,50,A,20.897902959801595,35.51293159820014,1.0448951479900799,0.5578358250817119,A,523.1590000003052,Correct
14,314,51,B,75.5560574487084,64.7045384585437,3.7778028724354202,1.0163765133763956,B,558.5072999983822,Correct
14,314,52,A,26.91590159126529,59.353807614528684,1.3457950795632643,0.9323274298219262,A,544.9835999988863,Correct
14,314,53,B,48.0088206597749,26.50203239036192,2.400441032988745,0.41629295131379873,B,534.8315000010189,Correct
14,314,54,B,68.3116833804691,50.48075805242206,3.415584169023455,0.7929498932256647,B,602.4426999993011,Correct
14,314,55,A,46.98696841201942,67.41221403667004,2.349348420600971,1.0589085818991266,B,721.3325000011537,Incorrect
14,314,56,A,15.854427500511186,37.24132490516832,0.7927213750255592,0.5849853636601369,A,579.5364000005065,Correct
14,314,57,B,61.780439337812325,45.2427436913934,3.0890219668906163,0.7106713560456372,B,467.7928000000975,Correct
14,314,58,B,41.773226035983726,31.03565167954117,2.088661301799186,0.4875068765790914,A,563.561099999788,Incorrect
14,314,59,B,52.694750579293974,25.06657104762506,2.6347375289646986,0.39374477726952745,B,420.6926000006206,Correct
14,314,60,B,35.557357439351335,18.901821465784753,1.7778678719675667,0.2969091172818762,B,433.1137999997736,Correct
14,314,61,B,72.97708947520934,41.29625724881194,3.6488544737604673,0.6486800919681092,B,593.41570000106,Correct
14,314,62,B,48.248224090184735,40.63619782002426,2.4124112045092367,0.6383119027060489,B,525.0281000007817,Correct
14,314,63,A,45.08477148260349,55.762576020003266,2.2542385741301745,0.8759164958484231,B,508.730800000194,Incorrect
14,314,64,A,42.827697048822074,51.216213203955256,2.141384852441104,0.8045023957311719,B,580.2149999999529,Incorrect
14,314,65,A,26.425289593523658,36.14251213686359,1.3212644796761828,0.567725253057253,A,427.99209999975574,Correct
14,314,66,B,71.94184428105034,41.317997116569266,3.597092214052517,0.6490215810122913,B,472.13489999921876,Correct
14,314,67,B,51.2552317236349,34.957477298181665,2.562761586181745,0.5491107693399975,B,728.6914000014804,Correct
14,314,68,A,66.68530481715348,85.11376410917057,3.3342652408576736,1.3369638802237243,B,703.3152000003611,Incorrect
14,314,69,B,38.01858957010562,27.76781568743331,1.900929478505281,0.43617582884937944,A,895.3431000009004,Incorrect
14,314,70,A,50.40845007399803,79.2200240248294,2.5204225036999017,1.2443852274680547,B,525.7292000005691,Incorrect
14,314,71,B,75.88771185679505,43.209986456031146,3.794385592839752,0.6787408800599095,B,506.42420000076527,Correct
14,314,72,B,65.80229806345308,33.56401244901076,3.290114903172654,0.5272222746740428,B,469.7465999997803,Correct
14,314,73,A,54.90786453752433,80.74485418684142,2.745393226876217,1.2683372036428002,B,487.6760999995895,Incorrect
14,314,74,A,40.684358199661794,48.23450898786777,2.0342179099830897,0.757665895428981,B,434.1809000015928,Incorrect
14,314,75,A,16.31848765835944,38.09868167687219,0.8159243829179721,0.5984526923375886,A,633.3684000001085,Correct
14,314,76,A,67.97950294074576,82.41750548470466,3.398975147037288,1.2946111487897234,B,437.8063000003749,Incorrect
14,314,77,A,47.428705000211764,72.97421324375128,2.371435250010588,1.14627626114032,A,731.8644000006316,Correct
14,314,78,B,55.35258393682676,41.113543882494,2.7676291968413382,0.6458100371214236,B,543.2156000006216,Correct
14,314,79,B,83.28271619097802,67.06649136005838,4.164135809548901,1.0534779827940137,B,495.4985999993369,Correct
