subject,day,trial,cat,x,y,xt,yt,resp,rt,fb
13,113,0,A,28.908873685911317,42.87776545621473,1.4454436842955658,0.6735223647979521,A,1843.1135999999242,Correct
13,113,1,A,35.61823690171945,54.315215601376494,1.7809118450859724,0.8531814115571505,A,1859.3806999997469,Correct
13,113,2,A,53.80978204764821,78.87731647977769,2.690489102382411,1.2390019899387335,A,2298.877100000027,Correct
13,113,3,B,62.43722185875862,36.82099634323564,3.121861092937931,0.5783828580488287,A,1137.7959999999803,Incorrect
13,113,4,A,64.11994782720323,78.98351062383338,3.205997391360162,1.2406700836528315,A,2059.7382999994807,Correct
13,113,5,A,19.642342264401872,40.255101517203514,0.9821171132200937,0.6323256559797894,B,1171.238099999755,Incorrect
13,113,6,A,69.89362721662192,86.84594724915347,3.494681360831096,1.364172949359936,A,1032.770700000583,Correct
13,113,7,B,65.62995743106342,48.55729260878117,3.281497871553171,0.7627361686897843,A,1183.3959000005052,Incorrect
13,113,8,B,39.28446998346402,18.78311301785367,1.964223499173201,0.29504444934217944,A,654.0552000005846,Incorrect
13,113,9,A,32.89492978950536,57.252799479055405,1.6447464894752681,0.89932487120425,A,1738.499399999455,Correct
13,113,10,A,27.91612202524054,47.10783741823401,1.395806101262027,0.7399681797981318,A,1129.126599999836,Correct
13,113,11,A,52.10348358820857,63.5266691842184,2.605174179410428,0.9978745860808481,B,787.372900000264,Incorrect
13,113,12,B,42.28953195258875,24.620522501591935,2.1144765976294377,0.38673826309271714,B,757.0377000001827,Correct
13,113,13,B,59.37987074595232,46.5749475591837,2.9689935372976155,0.7315975654663069,A,942.1241999998529,Incorrect
13,113,14,B,84.59225427993513,57.13476899856197,4.229612713996756,0.8974708527521608,B,1399.837999999363,Correct
13,113,15,B,66.19275575430628,44.38174948035656,3.309637787715314,0.6971468906047539,B,1230.1572999995187,Correct
13,113,16,B,54.586988780989365,29.015258582114782,2.729349439049468,0.4557706160179,A,1164.5532000002277,Incorrect
13,113,17,A,24.356803415240613,37.23614153806072,1.2178401707620308,0.5849039435200064,A,616.7277000004106,Correct
13,113,18,A,51.88996727427358,76.16158166637965,2.594498363713679,1.196343327244387,B,1062.258799999654,Incorrect
13,113,19,A,47.522641451049154,70.36226153374288,2.3761320725524575,1.1052478196218516,A,992.772700000387,Correct
13,113,20,B,59.92478900011934,39.565931879832654,2.996239450005967,0.6215002046305823,A,1202.6736999996501,Incorrect
